item_id,chain,address,source_rule_label,llm_provisional_label,llm_provisional_confidence,llm_provisional_reason_category,human_final_label,human_final_confidence,human_final_reason,human_review_status
optimism:0xc22efd7c592938a9ce328b6ed46ff54dc12e4d98,optimism,0xc22efd7c592938a9ce328b6ed46ff54dc12e4d98,1,UNCERTAIN,medium,INSUFFICIENT_EVIDENCE,,,,NOT_REVIEWED
polygon:0x32ab10ebca6121659e41d7caa364147d87ebd74e,polygon,0x32ab10ebca6121659e41d7caa364147d87ebd74e,1,SAFE,medium,OWNER_OR_SELF_CALL_RESTRICTED,,,,NOT_REVIEWED
base:0x54b20dbe278a201289d808448b798106dc6febdd,base,0x54b20dbe278a201289d808448b798106dc6febdd,0,SAFE,medium,ACCESS_CONTROL_APPEARS_APPROPRIATE,,,,NOT_REVIEWED
ethereum:0xd24558a256c4aa2d0b6c3a7e12b2f70f810e7b04,ethereum,0xd24558a256c4aa2d0b6c3a7e12b2f70f810e7b04,0,SAFE,medium,ACCESS_CONTROL_APPEARS_APPROPRIATE,,,,NOT_REVIEWED
base:0x7aef1df01285823845ee9b905f5bd20471c27e6c,base,0x7aef1df01285823845ee9b905f5bd20471c27e6c,1,UNCERTAIN,low,INSUFFICIENT_EVIDENCE,,,,NOT_REVIEWED
base:0x531723f8dc24e3da9220ec39769eac12cffb03fa,base,0x531723f8dc24e3da9220ec39769eac12cffb03fa,1,UNSAFE,medium,TX_ORIGIN_AUTHORIZATION_RISK,,,,NOT_REVIEWED
base:0xbe4cb4f3b926953dc550614b71909f149799f1f9,base,0xbe4cb4f3b926953dc550614b71909f149799f1f9,1,UNSAFE,high,TX_ORIGIN_AUTHORIZATION_RISK,,,,NOT_REVIEWED
bnb:0x7543d5c7417fde1b7e2b1d12f7ec77a8fa0d7e7c,bnb,0x7543d5c7417fde1b7e2b1d12f7ec77a8fa0d7e7c,1,SAFE,medium,ACCESS_CONTROL_APPEARS_APPROPRIATE,,,,NOT_REVIEWED
ethereum:0x2d33b68f3152a43e10b327dbf47bfed0b4a78d10,ethereum,0x2d33b68f3152a43e10b327dbf47bfed0b4a78d10,1,UNCERTAIN,medium,INSUFFICIENT_EVIDENCE,,,,NOT_REVIEWED
gnosis:0x95eb89311ffb27112e657b8a6eaaf7391192c83a,gnosis,0x95eb89311ffb27112e657b8a6eaaf7391192c83a,1,SAFE,medium,OWNER_OR_SELF_CALL_RESTRICTED,,,,NOT_REVIEWED
base:0x399e3a4f3251ba247b223cf41079cfe19d40463f,base,0x399e3a4f3251ba247b223cf41079cfe19d40463f,1,UNSAFE,high,TX_ORIGIN_AUTHORIZATION_RISK,,,,NOT_REVIEWED
base:0x09551d2ab499d73affed001b54d483942e11e0ff,base,0x09551d2ab499d73affed001b54d483942e11e0ff,1,SAFE,high,ACCESS_CONTROL_APPEARS_APPROPRIATE,,,,NOT_REVIEWED
optimism:0x068315334224a8433971b72504434e741a034e35,optimism,0x068315334224a8433971b72504434e741a034e35,1,SAFE,medium,NO_CONCRETE_DANGEROUS_PATH_FOUND,,,,NOT_REVIEWED
bnb:0xade121366bd52330411b00f557e5a311f41a7e28,bnb,0xade121366bd52330411b00f557e5a311f41a7e28,0,SAFE,medium,OWNER_OR_SELF_CALL_RESTRICTED,,,,NOT_REVIEWED
bnb:0x8656e0466987509e76e49a7e97dde4c5be341c4c,bnb,0x8656e0466987509e76e49a7e97dde4c5be341c4c,0,UNCERTAIN,low,DECOMPILATION_AMBIGUITY,,,,NOT_REVIEWED
base:0x2e8bf58e618447d90f4e19ff6491e85fda84472d,base,0x2e8bf58e618447d90f4e19ff6491e85fda84472d,0,UNSAFE,medium,UNRESTRICTED_CONTRACT_CREATION,,,,NOT_REVIEWED
optimism:0x6cd575da80915f273f60ec168732b05ae42bea82,optimism,0x6cd575da80915f273f60ec168732b05ae42bea82,0,UNCERTAIN,low,INSUFFICIENT_EVIDENCE,,,,NOT_REVIEWED
arbitrum:0xc9a6f7ff9db9408eba9bef142ea8aa53d7bbe303,arbitrum,0xc9a6f7ff9db9408eba9bef142ea8aa53d7bbe303,0,UNSAFE,high,ARBITRARY_EXTERNAL_CALL,,,,NOT_REVIEWED
ethereum:0x1c8ef3d487cf7278cb2ccfc1e339b055cd5291ea,ethereum,0x1c8ef3d487cf7278cb2ccfc1e339b055cd5291ea,0,UNSAFE,high,ARBITRARY_EXTERNAL_CALL,,,,NOT_REVIEWED
base:0xfec670faa234d55dd09efb9aae99ff1e2a4e4a0a,base,0xfec670faa234d55dd09efb9aae99ff1e2a4e4a0a,0,SAFE,high,NO_CONCRETE_DANGEROUS_PATH_FOUND,,,,NOT_REVIEWED
