item_id,proposed_project_family_id,proposal_status,proposed_cluster_size,dependence_cluster_id,dependence_linkage_evidence,verified_source_names,creator_address,evidence_reference_candidates,auditor_instruction
ethereum:0x000001a53f4a8a05709d171213832453b4e1ffbd,PF_CANDIDATE_E8BC40FC7202,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0001,SINGLETON_NO_MUST_LINK,,0x0000000000ffe8b47b3e2130213b802212439497,"https://eth.blockscout.com/api/v2/addresses/0x000001a53f4a8a05709d171213832453b4e1ffbd;https://eth.blockscout.com/api/v2/smart-contracts/0x000001a53f4a8a05709d171213832453b4e1ffbd;https://sourcify.dev/server/v2/contract/1/0x000001a53f4a8a05709d171213832453b4e1ffbd?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768,PF_CANDIDATE_556E6F40C9F6,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0002,SINGLETON_NO_MUST_LINK,,0x0000000000ffe8b47b3e2130213b802212439497,"https://eth.blockscout.com/api/v2/addresses/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768;https://eth.blockscout.com/api/v2/smart-contracts/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768;https://sourcify.dev/server/v2/contract/1/0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x000064946ee43ea87b413939b899069672190000,PF_CANDIDATE_DEDD86E70BD9,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0003,SINGLETON_NO_MUST_LINK,,0x0000000000ffe8b47b3e2130213b802212439497,"https://eth.blockscout.com/api/v2/addresses/0x000064946ee43ea87b413939b899069672190000;https://eth.blockscout.com/api/v2/smart-contracts/0x000064946ee43ea87b413939b899069672190000;https://sourcify.dev/server/v2/contract/1/0x000064946ee43ea87b413939b899069672190000?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x01e56fd1003cf460909d5f8144ee20014ca8534b,PF_CANDIDATE_C5D14AF15738,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0004,SINGLETON_NO_MUST_LINK,,0x361425e0907deeea6cfcee488a10ddc5bfbbcff1,"https://eth.blockscout.com/api/v2/addresses/0x01e56fd1003cf460909d5f8144ee20014ca8534b;https://eth.blockscout.com/api/v2/smart-contracts/0x01e56fd1003cf460909d5f8144ee20014ca8534b;https://sourcify.dev/server/v2/contract/1/0x01e56fd1003cf460909d5f8144ee20014ca8534b?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x029901e77902e3656ee7b207d04df5330c4450c7,PF_CANDIDATE_8B856A8BF51B,STRONG_ONCHAIN_CLUSTER_PROPOSAL,2,D0005,SHARED_AUTHORITY_EOA,,0x26e86b0acf511d88bff86cc25ac3a5c936cd4caf,"https://eth.blockscout.com/api/v2/addresses/0x029901e77902e3656ee7b207d04df5330c4450c7;https://eth.blockscout.com/api/v2/smart-contracts/0x029901e77902e3656ee7b207d04df5330c4450c7;https://sourcify.dev/server/v2/contract/1/0x029901e77902e3656ee7b207d04df5330c4450c7?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f,PF_CANDIDATE_EABE3763B27D,STRONG_ONCHAIN_CLUSTER_PROPOSAL,3,D0006,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA,,0x024b9e8e4c6c99a4cddec99eb81de826ce961238,"https://eth.blockscout.com/api/v2/addresses/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f;https://eth.blockscout.com/api/v2/smart-contracts/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f;https://sourcify.dev/server/v2/contract/1/0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x056a25be39d351d28a49ea30e023e2cb2e380d7c,PF_CANDIDATE_211A6237E21B,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0007,SINGLETON_NO_MUST_LINK,,0xa96ac0d6cc2f939b087986104158fe04bc2ebbcd,"https://eth.blockscout.com/api/v2/addresses/0x056a25be39d351d28a49ea30e023e2cb2e380d7c;https://eth.blockscout.com/api/v2/smart-contracts/0x056a25be39d351d28a49ea30e023e2cb2e380d7c;https://sourcify.dev/server/v2/contract/1/0x056a25be39d351d28a49ea30e023e2cb2e380d7c?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x07e24e265de698fb3b2b02315f70154619a184b0,PF_CANDIDATE_A41782E0AB72,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0008,SINGLETON_NO_MUST_LINK,,0x257dc9239d2c55d07c503dce0db413d1fc7ae8e9,"https://eth.blockscout.com/api/v2/addresses/0x07e24e265de698fb3b2b02315f70154619a184b0;https://eth.blockscout.com/api/v2/smart-contracts/0x07e24e265de698fb3b2b02315f70154619a184b0;https://sourcify.dev/server/v2/contract/1/0x07e24e265de698fb3b2b02315f70154619a184b0?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x09b7496152fe1136ecfdc60d79d40f56837fecf8,PF_CANDIDATE_D3FB7825B01E,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0009,SINGLETON_NO_MUST_LINK,,0xdeadc0dec18f9f380c7c272e366a5e0b32aa1eff,"https://eth.blockscout.com/api/v2/addresses/0x09b7496152fe1136ecfdc60d79d40f56837fecf8;https://eth.blockscout.com/api/v2/smart-contracts/0x09b7496152fe1136ecfdc60d79d40f56837fecf8;https://sourcify.dev/server/v2/contract/1/0x09b7496152fe1136ecfdc60d79d40f56837fecf8?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3,PF_CANDIDATE_B7A68CB2A03B,VERIFIED_SOURCE_SINGLETON_PROPOSAL,1,D0010,SINGLETON_NO_MUST_LINK,SimpleEncodedExecutor,0xdead7f94da688543dcf661114abbf626a8386666,"https://eth.blockscout.com/api/v2/addresses/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3;https://eth.blockscout.com/api/v2/smart-contracts/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3;https://sourcify.dev/server/v2/contract/1/0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x0b8d765cc8bce6d1b53d1d525ed944da082bf1fe,PF_CANDIDATE_2E2D26836F5A,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0011,SINGLETON_NO_MUST_LINK,,0xc7ad0604659144cca3d81aac7d0ca11828bb679b,"https://eth.blockscout.com/api/v2/addresses/0x0b8d765cc8bce6d1b53d1d525ed944da082bf1fe;https://eth.blockscout.com/api/v2/smart-contracts/0x0b8d765cc8bce6d1b53d1d525ed944da082bf1fe;https://sourcify.dev/server/v2/contract/1/0x0b8d765cc8bce6d1b53d1d525ed944da082bf1fe?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
ethereum:0x0cdd0482d874f4146d1e6ed06bdd0f6aad1caacc,PF_CANDIDATE_BEE1CC749F48,ANONYMOUS_SINGLETON_REQUIRES_RESEARCH,1,D0012,SINGLETON_NO_MUST_LINK,,0x53a1f685d66c14962e7ebbc58e5f30b17b0c06df,"https://eth.blockscout.com/api/v2/addresses/0x0cdd0482d874f4146d1e6ed06bdd0f6aad1caacc;https://eth.blockscout.com/api/v2/smart-contracts/0x0cdd0482d874f4146d1e6ed06bdd0f6aad1caacc;https://sourcify.dev/server/v2/contract/1/0x0cdd0482d874f4146d1e6ed06bdd0f6aad1caacc?fields=compilation,proxyResolution",Verify ownership/related deployments independently. A source name establishes deployed code identity only and must never be interpreted as legitimacy or an official brand association. Copy accepted fields into the authoritative audit only after review.
