address,chain,class,family_id,family_id_075,family_id_085,family_id_090
0x7196f386cd5adfa125895540450c77bdcf0534b3,optimism,malicious,F00001,F00001,F00001,F00001
0x2f1211e38436327cc90408565ea2f16dfc082600,optimism,malicious,F00002,F00002,F00002,F00002
0xbe7ae1e53867f9f1778c8b728b533c00900a38be,optimism,malicious,F00003,F00003,F00003,F00003
0x24592cb8b7ec813a5eaeb73e5503322d2b93a878,optimism,malicious,F00004,F00004,F00004,F00004
0xef0852258381dfbf20144ed38899d489935fa038,optimism,malicious,F00004,F00004,F00004,F00004
0x68d333198c60c8160848437b2870f3a5be693107,optimism,malicious,F00005,F00005,F00005,F00005
0xc0403282ba280a6670f469c136aaad86b780e098,optimism,malicious,F00006,F00006,F00006,F00006
0xf738308d26d74b697b367cf2ac5ff8c0e08bcd66,optimism,malicious,F00007,F00007,F00007,F00007
0x22f0db4f3292807d919497802d951e30aa281f4f,optimism,malicious,F00004,F00004,F00004,F00004
0x89046d34e70a65acab2152c26a0c8e493b5ba629,optimism,malicious,F00008,F00008,F00008,F00008
0xbd8aac1ab758af1bfe61c3ae2f94e792b5134fed,optimism,malicious,F00004,F00004,F00004,F00004
0x128f99fc9bfda7c53a2707c16997fdb56b77cd89,optimism,malicious,F00002,F00002,F00002,F00009
0x7702cb554e6bfb442cb743a7df23154544a7176c,optimism,malicious,F00009,F00009,F00009,F00010
0x095bc36d7d1cf990fc7ccb5f62c45163c37d03a5,optimism,malicious,F00010,F00010,F00010,F00011
0x6a6d07ad4815fdee627c0e4bdbc475c3e1629ab8,optimism,malicious,F00011,F00011,F00011,F00012
0x480ac71ed6be1b8d7ae18d323e42a16384918e91,optimism,malicious,F00004,F00004,F00004,F00004
0x06839a2e8541f56ac5e9e42656ff6c534ad2558c,optimism,malicious,F00004,F00004,F00004,F00004
0x5bb4e04d6732c665ca924e6830b32731229fff6f,optimism,malicious,F00004,F00004,F00004,F00004
0x4cb865cc389eaf43691f895edeb80633fc1ed93f,optimism,malicious,F00012,F00012,F00012,F00013
0x824aa93717c8d4d9cb1e213a9c02c726b947f774,optimism,malicious,F00004,F00004,F00004,F00004
0x0d69833bdd2ee5d545b950a85fcb1db9ed2b7572,optimism,malicious,F00004,F00004,F00004,F00004
0x00037763c2c4e6efa6bf9a03775f6a0b5112b578,optimism,malicious,F00013,F00012,F00013,F00014
0x20dd86b35eedce9159808218a57f8f622849c635,optimism,malicious,F00004,F00004,F00004,F00004
0x7b6ae45cbfcbcb2e31ec405b0bfe82cb2595fbeb,optimism,malicious,F00014,F00013,F00014,F00015
0xa213798e20fd04a31e468a93ddf2703364803a21,optimism,malicious,F00015,F00014,F00015,F00016
0x3447d54e4358e306d58e5bbfc3a19d728d53f78e,optimism,malicious,F00016,F00015,F00016,F00017
